iter	RMSE
0	10772.90688
1	10569.41858
2	10374.47118
3	10163.77327
4	9957.497184
5	9761.813993
6	9576.096618
7	9383.825224
8	9200.838335
9	9030.038003
10	8839.429022
11	8658.250444
12	8479.947596
13	8299.575179
14	8116.568732
15	7939.761978
16	7762.20638
17	7617.02293
18	7476.631474
19	7337.193901
20	7184.373103
21	7033.707796
22	6887.593285
23	6767.947427
24	6642.512821
25	6534.800178
26	6415.895365
27	6306.826224
28	6186.632296
29	6085.563271
30	5961.827646
31	5871.115923
32	5771.250833
33	5661.834106
34	5554.050368
35	5468.493132
36	5366.357448
37	5279.976278
38	5176.487507
39	5085.49266
40	5000.0711
41	4921.484087
42	4845.762727
43	4761.188292
44	4693.918028
45	4608.051016
46	4534.248977
47	4463.050558
48	4385.80642
49	4304.939189
50	4229.425301
51	4159.527043
52	4085.130487
53	4016.206959
54	3949.835309
55	3881.035125
56	3826.208369
57	3763.506212
58	3710.7741
59	3647.050808
60	3587.998294
61	3534.442447
62	3486.95837
63	3432.701242
64	3386.459722
65	3330.3579
66	3279.118377
67	3227.319889
68	3175.884653
69	3139.618503
70	3095.624997
71	3056.197317
72	3017.531772
73	2979.011325
74	2936.06399
75	2891.447784
76	2846.51881
77	2816.492698
78	2782.576129
79	2743.635446
80	2701.519996
81	2670.86423
82	2637.473016
83	2603.871908
84	2573.439103
85	2539.518722
86	2500.695496
87	2462.185335
88	2430.379641
89	2398.311423
90	2368.829829
91	2333.745385
92	2305.101693
93	2271.695585
94	2243.615676
95	2217.078366
96	2189.293026
97	2165.69162
98	2138.270418
99	2111.450421
100	2082.813175
101	2058.293112
102	2031.040841
103	2004.913328
104	1982.690671
105	1956.033724
106	1932.598252
107	1912.822753
108	1890.191865
109	1868.012379
110	1850.109759
111	1829.766538
112	1804.805641
113	1789.086163
114	1771.918927
115	1753.44582
116	1737.610258
117	1720.440494
118	1705.143687
119	1684.786588
120	1662.301439
121	1642.955557
122	1626.525525
123	1613.715288
124	1600.956704
125	1589.350587
126	1574.145535
127	1561.606415
128	1544.345636
129	1527.427042
130	1509.346322
131	1494.977701
132	1476.474822
133	1459.082988
134	1443.68622
135	1429.580144
136	1411.215722
137	1398.320447
138	1384.765143
139	1368.70308
140	1356.503678
141	1342.782671
142	1332.098003
143	1314.45604
144	1301.371822
145	1291.194496
146	1279.928257
147	1264.893886
148	1252.432962
149	1238.228585
150	1225.145822
151	1215.908792
152	1203.008274
153	1191.014617
154	1178.880268
155	1171.780951
156	1161.607217
157	1154.626929
158	1144.038359
159	1135.835501
160	1124.881326
161	1114.172719
162	1105.861002
163	1099.19338
164	1086.344126
165	1077.890843
166	1071.319451
167	1062.820187
168	1051.558719
169	1041.82328
170	1031.655108
171	1024.860455
172	1017.880689
173	1011.239351
174	1002.734652
175	994.4907101
176	987.8994199
177	982.1226358
178	975.8287662
179	966.7804927
180	962.0701152
181	958.023941
182	951.0376962
183	942.1833923
184	935.3961413
185	927.1688318
186	918.8817551
187	911.3335277
188	904.2826643
189	899.7697432
190	893.4041368
191	887.3533215
192	880.4808559
193	875.4396054
194	868.9227289
195	863.5144295
196	856.665417
197	851.1081278
198	844.6722037
199	841.2697227
200	834.5953634
201	831.3576456
202	826.1336136
203	821.1975347
204	817.084433
205	811.5017893
206	808.4443203
207	803.3052798
208	800.5151362
209	797.7737357
210	795.0801652
211	792.4373375
212	787.1036763
213	784.2955235
214	778.7514851
215	775.9301528
216	772.8809277
217	770.2751385
218	767.9240213
219	765.5658614
220	762.9195402
221	760.5867974
222	755.3102264
223	750.310022
224	747.822726
225	743.2936126
226	740.9350835
227	738.6698927
228	736.4583967
229	731.6135517
230	725.7710303
231	723.7217128
232	721.6146604
233	719.6906815
234	717.6514683
235	712.2136413
236	710.120465
237	705.5570753
238	701.9333832
239	700.0136057
240	698.1292207
241	693.1330479
242	691.4353889
243	689.7620177
244	688.1157475
245	686.5386094
246	684.9520563
247	680.3288303
248	678.6374991
249	674.8796215
250	673.5075376
251	671.9494219
252	670.5589274
253	667.1260216
254	665.8362844
255	662.1356831
256	658.3599003
257	657.1140731
258	652.576984
259	651.4897898
260	650.2894878
261	649.110629
262	647.9542419
263	644.5134982
264	643.3877397
265	639.7834405
266	638.6849366
267	637.6074129
268	636.5479727
269	635.5097401
270	634.4901511
271	629.7650266
272	628.7665107
273	627.7896555
274	623.2129445
275	620.1084565
276	619.1635618
277	618.2375202
278	614.338678
279	613.4356471
280	612.5492356
281	609.234895
282	606.2176719
283	603.3400889
284	599.5801613
285	596.9881767
286	594.5975575
287	591.289404
288	590.4647093
289	589.6537357
290	588.7504015
291	584.8167207
292	583.9994419
293	583.2288326
294	582.4938327
295	581.7472751
296	579.7820863
297	576.6218864
298	574.2562337
299	573.6133335
300	572.8993017
301	569.8243964
302	569.1027289
303	565.8007483
304	565.1538283
305	563.2313302
306	561.1216362
307	559.0551147
308	556.7590204
309	556.1023409
310	555.4400597
311	554.7938954
312	552.6341922
313	552.0651254
314	548.946539
315	545.6853567
316	543.4943115
317	542.8338262
318	542.2577745
319	540.3318858
320	539.7678134
321	539.1990099
322	535.8938388
323	533.2981451
324	532.7435974
325	532.2416732
326	530.1721955
327	528.423385
328	527.8911344
329	525.7670639
330	524.5500836
331	524.0390582
332	522.5192049
333	522.0214795
334	518.9637902
335	516.321579
336	515.8404605
337	514.6924812
338	512.6411341
339	512.1379114
340	511.7203875
341	508.7504054
342	505.9888815
343	503.3731857
344	501.559402
345	500.4802859
346	498.0695031
347	496.9192519
348	494.6611819
349	492.0436088
350	490.9764267
351	490.5364134
352	488.5146847
353	487.0355162
354	486.6242045
355	486.2031638
356	485.5761615
357	483.461257
358	482.0736655
359	481.6113961
360	481.2328289
361	480.8522687
362	480.4746444
363	478.9662081
364	477.9657581
365	476.6188604
366	474.4023058
367	473.2029277
368	471.4969664
369	469.9835926
370	469.6442017
371	467.6559778
372	466.438364
373	465.3883441
374	465.0152853
375	463.1547531
376	462.7369454
377	462.426583
378	459.9798783
379	459.2098587
380	458.8594362
381	458.5340399
382	457.6454365
383	456.8198645
384	456.4915789
385	456.1239618
386	454.148092
387	453.5230151
388	453.0451501
389	452.7584607
390	452.4162865
391	450.3356245
392	448.2681743
393	447.6379269
394	447.3065494
395	445.4182805
396	444.6274124
397	444.1965774
398	443.4321789
399	442.8074528
400	442.514392
401	442.2697267
402	440.2608252
403	440.0221018
404	438.5102197
405	438.2665449
406	436.4665725
407	436.2315784
408	435.9990602
409	434.0591307
410	433.7997118
411	433.5762132
412	433.0836063
413	432.8361005
414	432.6253538
415	432.3975723
416	432.2045096
417	431.8463271
418	431.660632
419	431.317381
420	431.0021642
421	430.5964046
422	430.411577
423	429.694107
424	429.5170294
425	429.3442252
426	429.1216921
427	428.9645956
428	428.7473306
429	427.7865935
430	427.5726492
431	427.3919249
432	427.0937874
433	424.7269575
434	424.150026
435	423.8909213
436	421.9067985
437	421.3846665
438	419.6197961
439	418.4233382
440	416.3601943
441	416.2207884
442	416.091796
443	414.8332284
444	413.0302459
445	411.2839244
446	409.75381
447	408.1697149
448	407.2146624
449	406.6573175
450	405.6539138
451	405.5169103
452	405.382537
453	403.283045
454	403.0287655
455	401.2047886
456	401.0811603
457	400.8388016
458	400.6548449
459	399.4642943
460	399.3478998
461	398.3297119
462	396.9075288
463	395.4965898
464	394.7541315
465	393.9720993
466	392.6506498
467	391.2401538
468	391.0992485
469	390.9196668
470	389.593237
471	388.3548244
472	387.5337552
473	386.1954941
474	385.4462067
475	385.2760171
476	384.4709769
477	384.3510422
478	383.7124299
479	382.1170865
480	380.4152665
481	379.9035905
482	379.7510913
483	378.4653406
484	377.0683277
485	376.2823899
486	375.0809924
487	373.9958131
488	373.4551525
489	372.1584373
490	371.721917
491	371.6029414
492	371.4015107
493	370.3378559
494	370.1663709
495	369.8871731
496	368.5645701
497	367.7891827
498	366.9111247
499	366.8129678
500	366.469147
501	365.4248432
502	364.3095491
503	363.5252463
504	362.4933161
505	361.0227943
506	360.9290642
507	360.513384
508	359.5386351
509	358.0768982
510	357.1362773
511	356.3377095
512	355.9355697
513	354.8389187
514	354.2385875
515	353.8168737
516	352.9171765
517	352.8286256
518	352.1550732
519	350.716056
520	349.4166026
521	348.3635493
522	347.5850797
523	347.4983228
524	346.4291962
525	345.8666682
526	345.1696911
527	343.9729911
528	342.9118204
529	342.4962465
530	341.7964036
531	341.525144
532	341.4401732
533	340.6921143
534	339.4651738
535	338.560477
536	337.8066051
537	337.6272012
538	336.40257
539	335.5082439
540	335.3408087
541	334.3335266
542	334.0006156
543	333.9211036
544	333.61061
545	332.9079651
546	332.1387949
547	331.1804957
548	330.5755815
549	329.7570973
550	329.0626901
551	328.4678374
552	328.3926218
553	327.2113694
554	326.2188969
555	325.6055376
556	324.2607179
557	323.1800695
558	322.270128
559	321.3554982
560	320.249753
561	319.8853376
562	318.9093857
563	317.8966226
564	316.8645987
565	316.1539423
566	315.0469934
567	314.0811969
568	313.4763364
569	312.5671026
570	311.5559186
571	310.6627668
572	310.1099768
573	309.7153881
574	309.3910215
575	309.0532606
576	308.4882071
577	307.9355262
578	307.1903561
579	306.6010863
580	305.8493226
581	305.2502079
582	304.4831575
583	303.7702722
584	303.011175
585	302.4074784
586	301.6516751
587	301.3370442
588	300.7481185
589	299.9152734
590	299.6269398
591	298.8332757
592	298.3594126
593	297.8472123
594	297.2525062
595	296.4344428
596	296.2203687
597	295.9376982
598	295.4774916
599	294.6721862
600	293.8433012
601	292.9601437
602	292.0682232
603	291.2686804
604	290.5838989
605	289.8995739
606	288.9637784
607	288.4760343
608	287.9616545
609	287.4029055
610	286.4583295
611	285.8719199
612	285.3072194
613	284.7531102
614	284.1781552
615	283.814672
616	283.2588004
617	282.7176024
618	282.1299366
619	282.0015297
620	281.1353672
621	280.8508039
622	280.0463844
623	279.6098304
624	278.9121636
625	278.2609118
626	277.5509025
627	277.3214848
628	276.8350013
629	276.4591935
630	276.046704
631	275.4727333
632	274.6764668
633	274.0194428
634	273.6580419
635	273.2402891
636	272.8249703
637	272.0100219
638	271.769597
639	271.0164226
640	270.4855988
641	269.9351587
642	269.6758401
643	269.2258045
644	268.6101959
645	268.2451524
646	267.5743986
647	267.3330598
648	266.9726799
649	266.126805
650	265.5328463
651	264.6436045
652	264.4425942
653	263.7892254
654	263.450064
655	262.7721531
656	262.4673648
657	262.0853057
658	261.5274609
659	260.9480123
660	260.5168432
661	259.9402227
662	259.852788
663	259.4305424
664	258.8816464
665	258.5088115
666	258.4388345
667	257.8034285
668	257.260796
669	256.6339888
670	256.3662353
671	256.1323339
672	255.7562282
673	255.5239833
674	255.3037611
675	255.0227022
676	254.3278762
677	253.8287534
678	253.7596678
679	253.1787623
680	252.6237533
681	252.4625467
682	251.4874658
683	251.0933135
684	250.6833692
685	250.1738342
686	249.7475791
687	249.2563109
688	248.7608684
689	248.6989818
690	248.0909578
691	247.5436059
692	247.0689818
693	246.704066
694	246.4442101
695	246.284144
696	246.0280336
697	245.8321129
698	245.1395809
699	244.4277324
700	244.023638
701	243.6538479
702	243.1744975
703	242.9806973
704	242.5741906
705	242.0656044
706	241.4004044
707	240.8056343
708	240.3930832
709	239.8786236
710	239.8050873
711	239.3384939
712	238.691013
713	238.5240782
714	238.450888
715	238.3180153
716	237.8135422
717	237.48642
718	237.422158
719	236.8471228
720	236.2299688
721	236.1271465
722	235.5033845
723	234.8929085
724	234.6663328
725	234.4491127
726	234.3845006
727	233.9160852
728	233.4912578
729	233.1140497
730	232.679133
731	232.4063194
732	231.8191199
733	231.5458993
734	231.2029048
735	230.6727559
736	230.2430566
737	229.6808053
738	229.3729568
739	228.5295745
740	228.0598572
741	227.6140718
742	227.2333319
743	226.8484787
744	226.4491056
745	226.0401711
746	225.3002903
747	225.0347212
748	224.7608286
749	224.5619475
750	224.2942339
751	223.9036935
752	223.7259144
753	223.5015095
754	223.2055253
755	222.7371695
756	222.6814512
757	222.5872742
758	222.5156809
759	222.1307962
760	221.9137571
761	221.4848676
762	221.0773567
763	220.6699172
764	220.2264681
765	219.7941788
766	219.6111145
767	219.3619428
768	219.1609293
769	218.5812091
770	218.5299267
771	218.3270159
772	217.8343703
773	217.7684175
774	217.5213798
775	217.2807542
776	216.8635652
777	216.473557
778	216.0524324
779	215.7586855
780	215.6965525
781	215.6491042
782	215.49441
783	214.9947822
784	214.9150965
785	214.2835009
786	213.8266518
787	213.4111717
788	213.1163416
789	212.611526
790	212.3660223
791	212.3286398
792	211.9461517
793	211.8193575
794	211.6866278
795	211.442541
796	211.0170502
797	210.4441322
798	210.148722
799	209.9801042
800	209.5192895
801	209.1610426
802	209.0146481
803	208.4233965
804	208.3863418
805	208.356493
806	208.0594674
807	207.7131563
808	207.5275764
809	207.0556324
810	206.7875324
811	206.1806024
812	205.7875433
813	205.4288191
814	205.3934669
815	205.0037755
816	204.5262476
817	204.4060592
818	204.2224575
819	204.0265811
820	203.7179179
821	203.2950033
822	202.8776907
823	202.4591235
824	202.2374975
825	201.8653224
826	201.7792697
827	201.3667327
828	200.9252154
829	200.6974958
830	200.3700387
831	200.0520622
832	199.947372
833	199.8551969
834	199.5968364
835	199.2619032
836	198.9382959
837	198.41576
838	198.2730986
839	197.7573271
840	197.2628015
841	197.0628025
842	196.7139094
843	196.4167175
844	196.3847623
845	196.0688191
846	195.8665953
847	195.3097201
848	194.9092923
849	194.6833795
850	194.1542715
851	193.9238844
852	193.325024
853	192.7635188
854	192.5142814
855	192.0297706
856	191.5424958
857	191.1974921
858	190.8590509
859	190.4678718
860	190.2627587
861	190.2262391
862	189.8082848
863	189.530109
864	189.3760646
865	188.9364419
866	188.9015841
867	188.4406945
868	188.0459619
869	187.8566512
870	187.3769933
871	187.2456602
872	186.9775151
873	186.7113127
874	186.5991185
875	186.4827346
876	186.063356
877	185.6979277
878	185.6670148
879	185.5136248
880	185.3582901
881	185.0717245
882	184.7384285
883	184.3280486
884	184.1134132
885	183.918869
886	183.8719589
887	183.6215742
888	183.3374791
889	183.2535162
890	183.1090336
891	182.9942479
892	182.6577708
893	182.6324481
894	182.4870208
895	182.1836431
896	181.8836881
897	181.5441329
898	181.360387
899	180.9962141
900	180.7875146
901	180.6384152
902	180.3525226
903	180.0413577
904	179.7170592
905	179.687171
906	179.562872
907	179.3095327
908	178.9997128
909	178.7460671
910	178.7029434
911	178.5546727
912	178.2186731
913	178.0760651
914	177.7354843
915	177.3388756
916	176.8856114
917	176.5770226
918	176.3451833
919	176.208881
920	176.1701312
921	176.0675778
922	175.7092686
923	175.5832624
924	175.1640545
925	174.7478121
926	174.4596109
927	174.332749
928	174.1491663
929	173.7503217
930	173.6085763
931	173.3279195
932	173.11184
933	172.8151422
934	172.6636412
935	172.4992305
936	172.4733933
937	172.1432633
938	171.9563441
939	171.6872046
940	171.5831298
941	171.237976
942	170.8546843
943	170.5214982
944	170.4189197
945	170.3322061
946	170.1213475
947	169.6957718
948	169.3908737
949	169.2248199
950	168.783815
951	168.3936369
952	167.9959651
953	167.875635
954	167.475326
955	167.1551982
956	166.992251
957	166.5711189
958	166.2041514
959	166.1791476
960	165.8976141
961	165.6307404
962	165.2559413
963	165.0680055
964	164.862487
965	164.5554495
966	164.3605507
967	164.0069749
968	163.762049
969	163.7286862
970	163.4063376
971	163.1169124
972	162.8103212
973	162.4604975
974	162.1667753
975	162.1423613
976	161.7280946
977	161.3225669
978	161.0909502
979	160.9616247
980	160.6408893
981	160.3025001
982	160.1437681
983	159.9582272
984	159.705684
985	159.3233858
986	159.0732819
987	158.7790848
988	158.75565
989	158.5088201
990	158.2712257
991	158.0167372
992	157.6723532
993	157.6005824
994	157.2465281
995	157.2238694
996	156.9827952
997	156.7599047
998	156.530956
999	156.4778891
